time,block_number,transaction_index,value,gas,gas_price,max_fee_per_gas,max_priority_fee_per_gas,count
2021-08-14 00:21:49.000,13020050.0,29.5,0.0,118698.86666666667,52313038626.55,63453884888.888885,6070824966.666667,60
2021-08-14 00:21:53.000,13020051.0,59.5,0.0,174353.61666666667,57184345274.01667,77991404181.81818,17051722554.545454,120
2021-08-14 00:22:03.000,13020052.0,68.5,0.0,278658.9202898551,45095098939.63043,44652192333.333336,44652192333.333336,138
2021-08-14 00:22:07.000,13020053.0,78.0,0.0,151658.4203821656,59134079641.57962,77128663906.97675,6415862590.697675,157
2021-08-14 00:22:15.000,13020054.0,198.5,0.0,162808.1984924623,72356033576.56282,81744620701.14943,14639390718.390804,398
2021-08-14 00:23:04.000,13020055.0,127.5,0.0,163617.96875,73575554907.04688,84142046212.5,6881680355.0,256
2021-08-14 00:23:29.000,13020056.0,48.0,0.0,174039.65979381444,67793147956.78351,81871033444.44444,8968533581.481482,97
2021-08-14 00:23:47.000,13020057.0,189.0,0.0,192074.9525065963,66346057401.905014,,,379
2021-08-14 00:24:47.000,13020058.0,92.0,0.0,134090.14594594596,59920379822.8,98026207621.79488,7465726104.48718,185
2021-08-14 00:24:52.000,13020059.0,57.0,73.06557377049181,197920.69565217392,73597409156.03479,82053946702.7027,17732483057.837837,115
2021-08-14 00:25:00.000,13020060.0,4.0,0.0,456234.22222222225,73043758714.77777,85343578000.0,32343579500.0,9
2021-08-14 00:25:03.000,13020061.0,166.0,38.52906976744186,169624.7027027027,57246882298.99099,91356591520.83333,15998914062.5,333
2021-08-14 00:25:13.000,13020062.0,18.5,0.0,97476.8947368421,63533458062.947365,85267751800.0,10412330356.0,38
2021-08-14 00:25:16.000,13020063.0,188.5,73170.01685393258,169339.51058201058,71370495555.93915,127204295970.14925,16283646417.910448,378
2021-08-14 00:25:56.000,13020064.0,66.5,0.0,168514.41791044775,60748361659.72388,95266319488.88889,9554138611.11111,134
2021-08-14 00:26:10.000,13020065.0,71.0,0.0,155825.1118881119,65922758883.13986,90016437676.47058,13298736294.117647,143
2021-08-14 00:26:33.000,13020066.0,157.5,0.0,168881.5,61426932438.21203,106528382555.55556,25001909201.296295,316
2021-08-14 00:26:53.000,13020067.0,26.0,0.0,207096.4150943396,67365084556.92453,99312777214.28572,6459644635.714286,53
2021-08-14 00:27:04.000,13020068.0,102.0,0.0,127990.36097560976,62912629331.78536,106853772474.74748,8336182262.626263,205
2021-08-14 00:27:13.000,13020069.0,67.0,0.0,230777.14814814815,58352328031.14815,65547162000.0,38495877785.71429,135
2021-08-14 00:27:16.000,13020070.0,107.0,0.0,158361.17209302326,59319560070.38605,99253981900.0,10640971056.0,215
2021-08-14 00:27:27.000,13020071.0,95.0,39.6,179700.27748691099,63478263049.96335,85014153219.51219,12379307164.146341,191
2021-08-14 00:27:46.000,13020072.0,51.0,0.0,174152.23300970873,63306864751.368935,,,103
2021-08-14 00:27:59.000,13020073.0,113.0,0.0,120716.21145374449,52493303585.04846,92219448115.38461,11165945269.23077,227
2021-08-14 00:28:04.000,13020074.0,150.0,0.0,193086.2093023256,60729469483.18937,77632122020.40816,6797198645.918367,301
2021-08-14 00:28:33.000,13020076.0,8.0,0.0,183730.0,59627308873.35294,94178505166.66667,4000000000.0,17
2021-08-14 00:28:34.000,13020077.0,139.0,0.0,201240.10035842293,54525431575.18279,61329442666.666664,36564920942.85714,279
2021-08-14 00:28:47.000,13020078.0,84.5,397.0813953488372,160024.6,57280702567.382355,89887666310.34483,8298459246.379311,170
2021-08-14 00:28:58.000,13020079.0,44.0,0.0,191771.62921348316,55238400525.91011,64048140846.15385,32886509384.615383,89
2021-08-14 00:29:04.000,13020080.0,88.5,0.0,185327.85955056178,52296309126.44944,72559068300.0,25716034375.0,178
2021-08-14 00:29:12.000,13020081.0,49.5,0.0,157381.33,54385302797.01,69119951159.09091,2297623700.4545455,100
2021-08-14 00:29:20.000,13020082.0,15.5,0.0,174797.84375,55719092431.21875,74926631285.71428,18815122171.42857,32
2021-08-14 00:29:23.000,13020083.0,130.0,26.389261744966444,186719.6091954023,47414812977.038315,67282126592.59259,24610681166.666668,261
